customer_id,name,country,marker,db_timestamp
1,Alice,US,I,2024-01-01T12:00:00
2,Bob,DE,I,2024-01-01T12:01:00
3,Charlie,FR,I,2024-01-01T12:02:00
1,Alice,CA,U,2024-01-02T12:00:00
2,Bob,UK,U,2024-01-02T12:01:00
4,Diana,ES,I,2024-01-02T12:02:00
5,Eve,IN,I,2024-01-03T12:00:00
6,Frank,BR,I,2024-01-03T12:01:00
7,George,MX,I,2024-01-03T12:02:00
8,Helen,JP,I,2024-01-03T12:03:00
9,Ivy,CN,I,2024-01-04T12:00:00
10,John,KR,I,2024-01-04T12:01:00
4,Diana,FR,U,2024-01-05T12:00:00
11,Karen,VN,I,2024-01-05T12:01:00
12,Leo,AU,I,2024-01-05T12:02:00
13,Mike,ZA,I,2024-01-05T12:03:00
14,Nina,NG,I,2024-01-06T12:00:00
15,Oscar,RU,I,2024-01-06T12:01:00
16,Paul,TR,I,2024-01-06T12:02:00
17,Quincy,AE,I,2024-01-06T12:03:00
18,Rachel,SA,I,2024-01-07T12:00:00
19,Steve,EG,I,2024-01-07T12:01:00
20,Tracy,KE,I,2024-01-07T12:02:00
21,Uma,ZA,I,2024-01-07T12:03:00
22,Victor,LK,I,2024-01-08T12:00:00
23,Wendy,DZ,I,2024-01-08T12:01:00
24,Xavier,TH,I,2024-01-08T12:02:00
25,Yasmin,MY,I,2024-01-08T12:03:00
15,Oscar,RU,D,2024-01-09T12:00:00
